table_name,column_name,data_type,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,constraint_type,references_table
contractors,insurance_info,jsonb,jsonb,null,null,null,YES,'{}'::jsonb,null,null
contractors,skills,ARRAY,_text,null,null,null,YES,'{}'::text[],null,null
contractors,rating,numeric,numeric,null,3,2,YES,0,null,null
contractors,performance,jsonb,jsonb,null,null,null,YES,'{}'::jsonb,null,null
contractors,verification_status,text,text,null,null,null,YES,'pending'::text,null,null
contractors,last_verified_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
contractors,is_active,boolean,bool,null,null,null,YES,true,null,null
contractors,created_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
contractors,updated_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
invoices,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
invoices,workgroup_id,uuid,uuid,null,null,null,NO,null,FOREIGN KEY,workgroups
invoices,contractor_id,uuid,uuid,null,null,null,NO,null,FOREIGN KEY,contractors
invoices,submitted_by_worker,uuid,uuid,null,null,null,YES,null,FOREIGN KEY,contractor_workers
invoices,invoice_number,text,text,null,null,null,NO,null,null,null
invoices,amount,numeric,numeric,null,12,2,NO,null,null,null
invoices,line_items,jsonb,jsonb,null,null,null,NO,'[]'::jsonb,null,null
invoices,status,text,text,null,null,null,YES,'draft'::text,null,null
invoices,ai_validated,boolean,bool,null,null,null,YES,false,null,null
invoices,ai_flags,jsonb,jsonb,null,null,null,YES,'[]'::jsonb,null,null
invoices,approved_by,uuid,uuid,null,null,null,YES,null,FOREIGN KEY,user_profiles
invoices,approved_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
invoices,file_url,text,text,null,null,null,YES,null,null,null
invoices,submitted_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
invoices,paid_at,timestamp with time zone,timestamptz,null,null,null,YES,null,null,null
invoices,created_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
invoices,updated_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),null,null
job_dependencies,id,uuid,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
